codigo,tipo,cuenta,tipo_catalogo
112804,,OPERACIONES DE REPORTO CON PARTICULARES,4
1128040101,,Emitidos por el Banco Central de Reserva - ML,4
1128040102,,Emitidos por el Banco Central de Reserva - ME,4
1128040201,,Emitidos por entidades del Estado - ML,4
1128040202,,Emitidos por entidades del Estado - ME,4
1128040301,,Emitidos por empresas privadas - ML,4
1128040302,,Emitidos por empresas privadas - ME,4
1128040501,,Emitidos por bancos - ML,4
1128040502,,Emitidos por bancos - ME,4
1128040601,,Emitidos por otras entidades del Sistema Financiero - ML,4
1128040602,,Emitidos por otras entidades del Sistema Financiero - ME,4
1128040701,,Emitidos por entidades del extranjero - ML,4
1128040702,,Emitidos por entidades del extranjero - ME,4
112805,,OPERACIONES DE REPORTO CON BANCOS Y FINANCIERAS,4
1128050101,,Emitidos por el Banco Central de Reserva - ML,4
1128050102,,Emitidos por el Banco Central de Reserva - ME,4
1128050201,,Emitidos por entidades del Estado - ML,4
1128050202,,Emitidos por entidades del Estado - ME,4
1128050301,,Emitidos por empresas privadas - ML,4
1128050302,,Emitidos por empresas privadas - ME,4
1128050501,,Emitidos por bancos - ML,4
1128050502,,Emitidos por bancos - ME,4
1128050601,,Emitidos por otras entidades del Sistema Financiero - ML,4
1128050602,,Emitidos por otras entidades del Sistema Financiero - ME,4
1128050701,,Emitidos por entidades del extranjero - ML,4
1128050702,,Emitidos por entidades del extranjero - ME,4
112806,,OPERACIONES DE REPORTO CON OTRAS ENTIDADES DEL SISTEMA FINANCIERO,4
1128060101,,Emitidos por el Banco Central de Reserva - ML,4
1128060102,,Emitidos por el Banco Central de Reserva - ME,4
1128060201,,Emitidos por entidades del Estado - ML,4
1128060202,,Emitidos por entidades del Estado - ME,4
1128060301,,Emitidos por empresas privadas - ML,4
1128060302,,Emitidos por empresas privadas - ME,4
1128060501,,Emitidos por bancos - ML,4
1128060502,,Emitidos por bancos - ME,4
1128060601,,Emitidos por otras entidades del Sistema Financiero - ML,4
1128060602,,Emitidos por otras entidades del Sistema Financiero - ME,4
1128060701,,Emitidos por entidades del extranjero - ML,4
1128060702,,Emitidos por entidades del extranjero - ME,4
112807,,OPERACIONES BURSÁTILES,4
1128070101,,Emitidos por el Banco Central de Reserva - ML,4
1128070102,,Emitidos por el Banco Central de Reserva - ME,4
1128070201,,Emitidos por entidades del Estado - ML,4
1128070202,,Emitidos por entidades del Estado - ME,4
1128070301,,Emitidos por empresas privadas - ML,4
1128070302,,Emitidos por empresas privadas - ME,4
1128070501,,Emitidos por bancos - ML,4
1128070502,,Emitidos por bancos - ME,4
1128070601,,Emitidos por otras entidades del Sistema Financiero - ML,4
1128070602,,Emitidos por otras entidades del Sistema Financiero - ME,4
1128070701,,Emitidos por entidades del extranjero - ML,4
1128070702,,Emitidos por entidades del extranjero - ME,4
1129,,PROVISIÓN POR PÉRDIDAS,4
112900,,PROVISIÓN POR PÉRDIDAS,4
1129000001,,Provisión por pérdidas - ML,4
1129000002,,Provisión por pérdidas-ME,4
113,,INVERSIONES FINANCIERAS,4
1130,,TÍTULOSVALORES CONSERVADOS PARA NEGOCIACIÓN,4
113001,,TÍTULOSVALORES PROPIOS,4
1130010101,,Emitidos por el BCR - ML,4
1130010102,,Emitidos por el BCR - ME,4
1130010201,,Emitidos por el Estado - ML,4
1130010202,,Emitidos por el Estado - ME,4
1130010301,,Emitidos por empresas privadas - ML,4
1130010302,,Emitidos por empresas privadas - ME,4
1130010501,,Emitidos por bancos - ML,4
1130010502,,Emitidos por bancos - ME,4
1130010601,,Emitidos por otras entidades del Sistema Financiero - ML,4
1130010602,,Emitidos por otras entidades del Sistema Financiero - ME,4
