Codigo,Tipo,Cuenta,tipo_catalogo
4101010212,,Aplicacion de plaguicidas,8
4101010213,,Mantenimiento de calles,8
4101010214,,Corservacion de suelos,8
4101010215,,Peina blanca o chapoda,8
4101010216,,Peina negra,8
4101010217,,Placeado,8
4101010218,,Otros,8
41010103,,Costos indirectos de explotacion,8
4101010301,,Vigilancia,8
4101010302,,Supervision,8
4101010303,,Depreciacion,8
410101030301,,Maquinaria agricola,8
410101030302,,Edificios,8
410101030303,,Implementos agricolas,8
410101030304,,Utensilios de cocina,8
4101010304,,Agotamiento de activo biologico-cafe,8
4101010305,,Intereses por credito de avio,8
4101010306,,Comisiones por credito de avio,8
4101010307,,Combustibles y lubricantes,8
410101030701,,Gasolina corriente,8
410101030702,,Gasolina especial,8
410101030703,,Diesel,8
410101030704,,Aceites,8
410101030705,,Grasas,8
410101030706,,Otros,8
4101010308,,Analisis quimico del suelo,8
4101010309,,Analisis foliar,8
4101010310,,Alimentacion basica,8
4101010311,,Mantenimiento de maquinaria agricola,8
4101010312,,Cocineras,8
4101010313,,Otros,8
410102,,Recoleccion,8
41010201,,Mano de obra,8
4101020101,,Corte de cafe,8
4101020102,,Pepena,8
4101020103,,Repela,8
4101020104,,Pesado de cafe,8
41010202,,Costos indirectos de explotacion,8
4101020201,,Alimentacion basica,8
4101020202,,Vigilancia,8
4101020203,,Supervision,8
4101020204,,Basculas,8
4101020205,,Canastos,8
4101020206,,Sacos,8
4101020207,,Depreciacion,8
410102020701,,Maquinaria agricola,8
410102020702,,Edificios,8
410102020703,,Implementos agricolas,8
410102020704,,Utensilios de cocina,8
4101020208,,Intereses por credito de avio,8
4101020209,,Agotamiento de cultivos permanentes,8
4102,,Costos de produccion de cafe,8
4103,,Costo de venta,8
410301,,Cafe Uva,8
410302,,Cafe verde,8
5,,Cuentas de resultado Acreedoras,8
51,,Ingresos de operacion,8
5101,,Ventas,8
510101,,Cafe Uva,8
51010101,,Bajio,8
51010102,,Media Altura,8
51010103,,Estricta Altura,8
510102,,Cafe Verde,8
51010201,,Bajio,8
51010202,,Media Altura,8
